#interpro;categorie_libelle;categorie_code;genre_libelle;genre_code;denomination_libelle;denomination_code;mention_libelle;mention_code;lieu_libelle;lieu_code;couleur_libelle;couleur_code;cepage_libelle;cepage_code;departements;douane_code;douane_libelle;douane_taxe;douane_date;douane_noeud;cvo_taxe;cvo_date;cvo_noeud;repli_entree;repli_sorti;declassement_entree;declassement_sorti;densite;labels;code_produit;code_produit_noeud;code_analytique;code_comptable_noeud;code_douane;code_douane_noeud;alias_produit;format_libelle;format_libelle_noeud;cepages autorisés
declaration;Vins AOP;AOP_HORSALSACE;Tranquille;TRANQ;;;;;;;;;;;;L387;Vins Tranquilles;3.82;2019-01-01;G;0;2019-01-01;CE;;;;;;;;;;;VT_IG_AOP;cepage;;%c% %g%;cepage;
declaration;Vins AOP;AOP_HORSALSACE;Mousseux;EFF;;;;;;;;;;;;L385;Vins Effervescents;9.44;2019-01-01;G;0;2019-01-01;CE;;;;;;;;;;;VM_IG_AOP;cepage;;%c% %g%;cepage;
declaration;Vins à IGP;IGP_HORSALSACE;Tranquille;TRANQ;;;;;;;;;;;;L387;Vins Tranquilles;3.82;2019-01-01;G;0;2019-01-01;CE;;;;;;;;;;;VT_IG_IGP;cepage;;%c% %g%;cepage;
declaration;Vins à IGP;IGP_HORSALSACE;Mousseux;EFF;;;;;;;;;;;;L385;Vins Effervescents;9.44;2019-01-01;G;0;2019-01-01;CE;;;;;;;;;;;VM_IG_IGP;cepage;;%c% %g%;cepage;
declaration;Vins sans IG;VINSSIG;Tranquille;TRANQ;Sans cépage;SANSCEP;;;;;;;;;;L387;Vins Tranquilles;3.82;2019-01-01;G;0;2019-01-01;CE;;;;;;;;;;;VT_SANS_IG_AUTRES;cepage;;%c% %g% %a%;cepage;
declaration;Vins sans IG;VINSSIG;Mousseux;EFF;Sans cépage;SANSCEP;;;;;;;;;;L385;Vins Effervescents;9.44;2019-01-01;G;0;2019-01-01;CE;;;;;;;;;;;VM_SANS_IG_AUTRES;cepage;;%c% %g% %a%;cepage;
declaration;Vins sans IG;VINSSIG;Tranquille;TRANQ;Avec cépage;CEP;;;;;;;;;;L387;Vins Tranquilles;3.82;2019-01-01;G;0;2019-01-01;CE;;;;;;;;;;;VT_SANS_IG_CEPAGE;cepage;;%c% %g% %a%;cepage;
declaration;Vins sans IG;VINSSIG;Mousseux;EFF;Avec cépage;CEP;;;;;;;;;;L385;Vins Effervescents;9.44;2019-01-01;G;0;2019-01-01;CE;;;;;;;;;;;VM_SANS_IG_CEPAGE;cepage;;%c% %g% %a%;cepage;
declaration;VDN-VDL;VDNVDL;;;Vin de Liqueur AOP (Sup 18°);VDLSUP;;;;;;;;;;L423;VDN-VDL;47.67;2019-01-01;G;0;2019-01-01;CE;;;;;;;;;;;VDN_VDL_AOP_SUP_18;cepage;;%a%;cepage;
declaration;VDN-VDL;VDNVDL;;;Vin de Liqueur AOP (Inf 18°);VDLINF;;;;;;;;;;L423;VDN-VDL;47.67;2019-01-01;G;0;2019-01-01;CE;;;;;;;;;;;VDN_VDL_AOP_INF_18;cepage;;%a%;cepage;
